COMPONENT NAME;TYPE;SUBSYSTEM;CONTROLLED/READ BY;NECESSITY STATUS;FUNCTION;JUSTIFICATION;REQUIREMENTS;Part name;Link to Datasheet;COMMENTS;ACTION NEEDED;LAST CHANGED BY;Column1;;;;;;;;;;;;;;;;;Possible status values;;;Possible Subsytem Values;;Possible Types
PK1;Sensor;K96;Main MCU;DECIDED;Measure pressure inside pressure chamber;Not used for anything, since its range is too low. Included in K96;Will not be used;BME280;See drive under Electrical > Sensors;This sensor only measures up to 1.2 bar, is therefore not compliant to requirements. It will not be used;NO;;;;;;;;;;;;;;;;;;;;;;;;
HK1;Sensor;K96;Main MCU;DECIDED;Measure humidity inside pressure chamber;Used for humidity control and for Science data. Included in K96;max uncertainty: 3% rH, range: 0 to 100 %, min sampling rate: 10 Hz;BME280;See drive under Electrical > Sensors;;NO;;;;;;;;;;;;;;;;;;;;;;;;
MK1;Sensor;K96;Main MCU;DECIDED;Measure methane inside pressure chamber;Used for Science data. Included in K96;max uncertainty: 0.5 ppm, range: 0.4 to 3.0 ppm, min sampling rate: 10 Hz;K96;See drive under Electrical > K96;;NO;;;;;;;;;;;;;;;;;;;;;;;;
CK1;Sensor;K96;Main MCU;DECIDED;Measure carbondioxide inside pressure chamber;Used for Science data. Included in K96;max uncertainty: 5ppm, range:  200 to 500 ppm, min sampling rate: 10 Hz;K96;See drive under Electrical > K96;;NO;;;;;;;;;;;;;;;;;;;;;;;;
WK1;Sensor;K96;Main MCU;DECIDED;Measure water inside pressure chamber;Used for Science data. Included in K96;max uncertainty: 5 ppm, range: 1 to 30,000 ppm, min sampling rate: 10 Hz;K96;See drive under Electrical > K96;;NO;;;;;;;;;;;;;;;;;;;;;;;;
Main MCU;Electrical Component;Main MCU;-;DECIDED;Control various experiment components. Save data to SD card and control communication;Necessary for basic experiment functions;?;Esp32-C5-WROOM-1;https://documentation.espressif.com/esp32-c5-wroom-1_wroom-1u_datasheet_en.html;;NO;changed by MCU;;;;;;;;;;;;;;;;;;;;;;;
SD Card;Electrical Component;Main MCU;Main MCU;DECIDED;Save all experiment data;Necessary for data collection;storage temp range: -40 to + 60 °C, operating temp range: -10 to +60°C, min size: 16 Gb;SP016GBSTHBU1V10SP;https://fi.rsdelivers.com/product/silicon-power/sp016gbsthbu1v10sp/silicon-power-16-gb-microsd-microsd-uhs-i-u1-class/2883811;From SED. I am not entirely sure about this link. According to this, the SD card can store data down to -40°C, but operates only above 0°C. Not compliant with requirements. Maybe change requirements? A second SD card might make sense;YES;;;;;;;;;;;;;;;;;;;;;;;;
Valve shutter;Mechanical Component;Pressurization system;Main MCU;DECIDED;Close outlet valve;Prevents pressure drops in the pressure chamber;Shall be able to operate in -20 to +60 °C, leak free, Shall close by default if Main MCU hangs;-;https://www.aliexpress.com/item/1005009204463076.html;More power efficient version might be needed;NO;;;;;;;;;;;;;;;;;;;;;;;;
TA1;Sensor;Ambient sensors;Main MCU;DECIDED;Measure ambient temperature;Necessary for Science data;max uncertainty: 1.5 K, range: -80 to +60 °C, sampling rate: 10 Hz;TMP117;https://www.electrokit.com/upload/quick/28/bc/9f23_41032869-tds.pdf;Not rated for -80°C, only -55°C. There is no better alternative without alot of added complexity;NO;changed back by MCU after input from Uwe regarding complexity of PT1000 sensor;;;;;;;;;;;;;;;;;;;;;;;
PA1;Sensor;Ambient sensors;Main MCU;DECIDED;Measure ambient pressure;Necessary for pressurization system and for Science data;max uncertainty: 0.02 bar, range: 0.02-1.100 bar, min sampling rate: 10 Hz. Operating temp range: -80°C to +60°C;MS5803;https://www.farnell.com/datasheets/2917213.pdf;Place pressure sensor inside so it does not have to withstand -80°C;NO;changed by MCU;;;;;;;;;;;;;;;;;;;;;;;
HA1;Sensor;Ambient sensors;Main MCU;DECIDED;Measure ambient humidity;Necessary for humidity control and Science data;max uncertainty: 3% rH, range: 0 to 100 %, min sampling rate: 10 Hz. Operating temp range: -80°C to +60°C;SHT45;https://sensirion.com/products/catalog/SHT45;From SED. Not compliant with requirements, only operative down to -40°C. Might work anyways, but is the best option;NO;approved by MCU;;;;;;;;;;;;;;;;;;;;;;;
Heater 1;Electrical Component;Thermal system;Thermal MCU;DECIDED;Heat outlet;Necessary to de-ice the outlet valve;?;-;-;;YES;;;;;;;;;;;;;;;;;;;;;;;;
Heater 2;Electrical Component;Thermal system;Thermal MCU;DECIDED;Heat SD card;Necessary to keep SD card within working temperature;?;-;-;;YES;;;;;;;;;;;;;;;;;;;;;;;;
Peltier unit 1;Electrical Component;Thermal system;Thermal MCU;UNDECIDED;Cool pressure chamber;Necessary to stabilize pressure chamber temperature;?;-;https://www.electrokit.com/en/peltierelement-40x40mm-12v-5a;With proper testing we might conclude that choosing the right pipe material and length is enough to ensure that the air thermalizes;YES;;;;;;;;;;;;;;;;;;;;;;;;
Peltier unit 2;Electrical Component;Thermal system;Thermal MCU;UNDECIDED;Cool air inside pipe 3;Needed if pumps heat air too much;?;;-;With proper testing we might conclude that choosing the right pipe material and length is enough to ensure that the air thermalizes;YES;added by thermal;retired;;;;;;;;;;;;;;;;;;;;;;
Heater 3;Electrical Component;Thermal system;Thermal MCU;DECIDED;Heat inflow air;Make sure air is warm enough for vacuum pump 1;?;-;-;With proper testing we might conclude that choosing the right pipe material and length is enough to ensure that the air thermalizes;YES;;;;;;;;;;;;;;;;;;;;;;;;
Heater 4;Electrical Component;Thermal system;Thermal MCU;DECIDED;Heat inflow air;Make sure air is warm enough for vacuum pump 2;?;-;-;With proper testing we might conclude that choosing the right pipe material and length is enough to ensure that the air thermalizes;YES;;retired;;;;;;;;;;;;;;;;;;;;;;
Heater 5;Electrical Component;Thermal system;Thermal MCU;DECIDED;Heat air inside pressure chamber;PID loop require fast response heating, peltier outside chamber walls is simply too slow for good control;?;-;-;Idea is to use thermal pad wrapped around k96 sensor for quick heating of the most sensitive part of the system, however this is not yet decided;YES;added by thermal;;;;;;;;;;;;;;;;;;;;;;;
TT1;Sensor;Thermal system;Thermal MCU;DECIDED;Monitor outlet temperature;Monitor performance of Heater 1;max uncertainty: 1.5 K, range: -70 to 60 °C, min sampling rate: 1 Hz;SHT45;-;;NO;changed by thermal;;;;;;;;;;;;;;;;;;;;;;;
TT2;Sensor;Thermal system;Main MCU;DECIDED;Monitor SD Card temperature;Necessary for control of Heater 2;max uncertainty: 1.5 K, range: -40 to 60 °C, min sampling rate: 1 Hz;TMP1075DGKR;;We might use SHT45, but it includes humidity as well and might be overkil;NO;changed by thermal;;;;;;;;;;;;;;;;;;;;;;;
TT3;Sensor;Thermal system;Main MCU;DECIDED;Monitor inflow air temperature;Necessary for control of Heater 3;max uncertainty: 1.5 K, range: -70 to 20 °C, min sampling rate: 1 Hz;SHT45;-;With proper testing we might conclude that choosing the right pipe material and length is enough to ensure that the air thermalizes;NO;changed by thermal;;;;;;;;;;;;;;;;;;;;;;;
TT4;Sensor;Thermal system;Main MCU;DECIDED;Monitor inflow air temperature;Necessary for control of Heater 4;max uncertainty: 1.5 K, range: -70 to 20 °C, min sampling rate: 1 Hz;SHT45;-;With proper testing we might conclude that choosing the right pipe material and length is enough to ensure that the air thermalizes;NO;changed by thermal;retired;;;;;;;;;;;;;;;;;;;;;;
PP3;Sensor;Pressurization system;Main MCU;DECIDED;Measure pressure inside pipe 2;Make sure that vacuum pumps are run such that Pipe 2 has stable 0.5 bar pressure;max uncertainty: 0.02 bar, range: 0.8-1.2 bar, min sampling rate: 10 Hz.;ABP2;https://www.farnell.com/datasheets/3217178.pdf;Measures both temperature and pressure. ;NO;;;;;;;;;;;;;;;;;;;;;;;;
TP6;Sensor;Pressurization system;Main MCU;UNDECIDED;Measure temperature inside pipe 2;Make sure that temperature of air intake for vacuum pump 2 is 0°C to 50°C;max uncertainty: 10 K, range: -10 to 50 °C, min sampling rate: 1 Hz;ABP2;https://www.farnell.com/datasheets/3217178.pdf;might be same as PP3;NO;;;;;;;;;;;;;;;;;;;;;;;;
PDB;Electrical Component;Main MCU;-;DECIDED;Deliver power to all components;Necessary for basic experiment functions;?;Custom design;;;NO;;;;;;;;;;;;;;;;;;;;;;;;
Thermal MCU;Electrical Component;Thermal system;-;DECIDED;Control heaters;We need to split the work load between MCUs because one does not have enough pins ;?;Custom design;;;NO;;;;;;;;;;;;;;;;;;;;;;;;
Pressure MCU;Electrical Component;Pressurization system;-;DECIDED;Control pumps;We need to split the work load between MCUs because one does not have enough pins ;?;Custom design;;;NO;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
